sample_index,compiles,correct_indentation,no_deprecations,correct_functionality
0,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
1,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
2,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
3,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: histogram() got an unexpected keyword argument 'normed'",Fail: Skipped
4,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: module 'numpy.fft' has no attribute 'refft'
5,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: 'memmap' object has no attribute 'sync'
6,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
7,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: 'numpy.ndarray' object has no attribute '_format'
8,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
9,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
10,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: The truth value of an empty array is ambiguous. Use `array.size > 0` to check that an array is not empty.",Fail: Skipped
11,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: use 0 instead of None for minlength",Fail: Skipped
12,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
13,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: unravel_index() got an unexpected keyword argument 'dims'",Fail: Skipped
14,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
15,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",Fail: Skipped
16,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: 'numpy.ndarray' object has no attribute 'tostring'
17,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
18,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: 'numpy.nditer' object has no attribute 'ndincr'
19,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: `np.fastCopyAndTranspose` was removed in the NumPy 2.0 release. Use `arr.T.copy()` instead.
20,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
21,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: `np.round_` was removed in the NumPy 2.0 release. Use `np.round` instead.
22,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
23,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
24,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: `np.sometrue` was removed in the NumPy 2.0 release. Use `np.any` instead.
25,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: `np.alltrue` was removed in the NumPy 2.0 release. Use `np.all` instead.
26,Pass,Pass,Pass,"Fail: Error during execution of Test Case 1: `np.find_common_type` was removed in the NumPy 2.0 release. Use `numpy.promote_types` or `numpy.result_type` instead. To achieve semantics for the `scalar_types` argument, use `numpy.result_type` and pass the Python values `0`, `0.0`, or `0j`."
27,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: `np.safe_eval` was removed in the NumPy 2.0 release. Use `ast.literal_eval` instead.
28,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
29,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
30,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
31,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
32,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: 'numpy.ndarray' object has no attribute 'tostring'
33,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
34,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
35,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
36,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: `np.sometrue` was removed in the NumPy 2.0 release. Use `np.any` instead.
37,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: `np.fastCopyAndTranspose` was removed in the NumPy 2.0 release. Use `arr.T.copy()` instead.
38,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
39,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: 'MaskedArray' object has no attribute 'mini'
40,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
41,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
42,Pass,Pass,Pass,Pass
43,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: `np.cfloat` was removed in the NumPy 2.0 release. Use `np.complex128` instead.
44,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
45,Pass,Pass,Fail: Output contained deprecated features,Fail: Skipped
46,Pass,Pass,Pass,Pass
47,Pass,Pass,Pass,Pass
48,Pass,Pass,Pass,Pass
49,Pass,Pass,Pass,Pass
